family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F2b_CSP,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.2872531729667934,0.05589237042125214,0.11937648755199248,0.0092743082599748
F2b_CSP,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.6028632454308042,0.09008536080994434,0.12918599760597171,0.012349970493086448
F2b_CSP,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.6699864187582111,0.0673479368682991,0.2881257554175236,0.014864816008317919
F2b_CSP,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.6895569968071414,0.07432696692894414,0.3054172810037119,0.013857944023575236
F2b_CSP,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.6913049705184536,0.04927705761384038,0.4071482353951279,0.017573953077420476
F2b_CSP,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.74473350496477,0.06726860918156552,0.40669967567674337,0.01869912777169326
F2b_CSP,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.7269772890403227,0.08618206837275966,0.4763104122633006,0.021469794669267794
F2b_CSP,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.5808030353907616,0.028628254306439116,0.438340345806042,0.017784376641033967
F2b_CSP,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.527302783783033,0.10501204078946585,0.11572786163583193,0.009871386127853252
F2b_CSP,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.520391742689018,0.08250226563855939,1.629850237177406,0.03301090554789403
F2b_CSP,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.6067098045292795,0.1049750346259819,0.28250279677066703,0.019309341535905314
F2c_SPD,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.5139958528020455,-0.033757730185450585,-0.2222660198737949,-0.010463235996121825
F2c_SPD,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.3120587263628862,0.08069792381734489,-0.6576128579870986,-0.010220138222803266
F2c_SPD,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.4838313400007047,-0.028946544620155112,-0.6741494303866187,-0.011480873764620592
F2c_SPD,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.49264672670102977,-0.10999175518888221,-0.5953142814279331,-0.021779607469528214
F2c_SPD,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.5112854923122518,-0.10394453756594546,-0.5226158956671316,-0.025143734012549226
F2c_SPD,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.5591263798802795,-0.08290153302433378,-0.3657964446722357,-0.01957419856990658
F2c_SPD,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.5854633125419723,-0.0920015832412322,-0.09182712743590105,-0.011567141601568298
F2c_SPD,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.6095182174491918,-0.031277003218371235,-0.15734700045326355,-0.005037760205425554
F2c_SPD,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.5926992018033422,0.04052442071901974,0.3005207082523793,0.008648836352666292
F2c_SPD,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.346825057829989,-0.0754656851635781,-0.4220548917062594,-0.022745760042153118
F2c_SPD,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.45942672199719153,0.021537244946732925,1.342145119228448,0.006017554200820854
F2c_SPD,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.5262362732899322,0.024501503386634593,0.1813314531949919,0.006027622476198785
F3_Ring,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.544761841046234,-0.0029917419412620605,-0.2163053893180895,-0.0028173724603568345
F3_Ring,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.21319206867893498,-0.018168733866606307,-0.43021597464718964,-0.009449803564723386
F3_Ring,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.472701789514166,-0.0400760951066938,-0.20558311099932225,-0.0060386403355321
F3_Ring,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.6296532636827722,0.02701478179286021,-0.1411433967133564,-0.0005356403068441512
F3_Ring,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.6417715161486566,0.02654148627045927,-0.13531393951782444,0.0035965997212711737
F3_Ring,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.6428714748355732,0.0008435619309599129,-0.14315455796926413,-0.002654647953874281
F3_Ring,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.6622462719830242,-0.015218623800180242,-0.12928526278713615,-0.003564256855125597
F3_Ring,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.6607112649045945,0.019916044237031527,-0.07979348071116199,0.0008634841387952924
F3_Ring,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.5401226697074604,-0.012052111376862129,-0.222939261643591,-0.0033890232516773644
F3_Ring,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.421235610523279,-0.0010551324702881004,-0.471027734188908,-0.007221271190721523
F3_Ring,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.43216611143687056,-0.0057233656135880495,0.050900904380017487,-0.0002531320203149334
F3_Ring,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.52837869152256,0.026643921619262434,-0.33820032085219487,-0.0010626452251575325
