dataset,phase,subject,condition,family,feature_dimension,active_native_labels_json,rest_label_excluded,D_nuisance_active,D_gesture_active,J_active,macro_f1_active6,accuracy_active,log_loss_active_truth_7way_probability,active_trials,rest_trials_excluded
libemg_contraction_intensity,validation,8,MVC,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.4342033863067627,4.077072620391846,2.8427436854730197,0.5555555555555555,0.6666666666666666,0.9021447462775241,12,2
libemg_contraction_intensity,validation,8,Light,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.478940725326538,3.5700056552886963,2.413893669916405,0.7465608465608465,0.7083333333333334,0.7294659363215311,24,4
libemg_contraction_intensity,validation,8,Medium,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.0998364686965942,3.759484052658081,3.418220944038697,0.655050505050505,0.625,0.6689815750991741,24,4
libemg_contraction_intensity,validation,8,Hard,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.1726990938186646,3.5552728176116943,3.0317008310558813,0.5740740740740741,0.625,0.9047052768955695,24,4
libemg_contraction_intensity,validation,7,ALL,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.3141354322433472,3.780940467661077,2.8771315152190664,0.4325438357941794,0.4246031746031746,2.0446617062667465,252,42
libemg_contraction_intensity,validation,7,20P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.351853609085083,3.1988189220428467,2.366246537575279,0.025641025641025644,0.041666666666666664,2.0837490506052045,24,4
libemg_contraction_intensity,validation,7,30P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.0622974634170532,3.6355626583099365,3.422358410113604,0.2984126984126984,0.2916666666666667,1.8984216392897821,24,4
libemg_contraction_intensity,validation,7,40P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.0898805856704712,4.13896369934082,3.7976304499587497,0.5076590076590076,0.5833333333333334,1.8678588344624873,24,4
libemg_contraction_intensity,validation,7,50P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.1175471544265747,4.352680683135986,3.894851922360187,0.5703703703703703,0.6666666666666666,1.7108696345040977,24,4
libemg_contraction_intensity,validation,7,60P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.1851208209991455,4.58863639831543,3.871872231608992,0.5833333333333334,0.6666666666666666,1.722501297201706,24,4
libemg_contraction_intensity,validation,7,70P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.33174467086792,4.7895426750183105,3.596442155490093,0.5703703703703703,0.6666666666666666,1.8373529845654317,24,4
libemg_contraction_intensity,validation,7,80P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.196062445640564,4.483276844024658,3.74836352398704,0.5428571428571428,0.5833333333333334,1.8868007032602694,24,4
libemg_contraction_intensity,validation,7,MVC,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.984270691871643,2.6310417652130127,1.3259490128328784,0.15079365079365079,0.25,2.635201344995078,12,2
libemg_contraction_intensity,validation,7,Light,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.8519023656845093,2.679111957550049,1.4466809952019875,0.11111111111111112,0.125,2.91748578428394,24,4
