run_id,dataset,phase,subject,condition,calibration_budget,evaluation_unit,evaluation_trials,core_definition_mode,scope,family_a,family_b,comparison_type,error_correlation,both_wrong,core_wrong_increment_correct,core_correct_increment_wrong,disagreement_fraction,disagreement_rate,a_correct_b_wrong,a_wrong_b_correct,both_correct,protocol,evaluation_bouts,shots_per_class,method,calibration_force,target_force_calibration,calibration_trials,session/domain,classes_present,aggregation,evaluation_windows,weighting,evaluation,disagreement
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,16,trial_1,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.35634832254989923,2,2,1,0.4,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,16,trial_2,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.816496580927726,5,1,0,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,16,trial_3,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.6123724356957945,2,2,0,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,16,trial_4,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.654653670707977,3,2,0,0.3,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,17,ALL,0,whole_native_trial_mean,40,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.738548945875996,16,6,0,0.175,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,17,trial_1,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.8017837257372734,3,1,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,17,trial_2,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.6666666666666669,4,2,0,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,17,trial_3,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.6666666666666669,4,2,0,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,17,trial_4,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.816496580927726,5,1,0,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,18,ALL,0,whole_native_trial_mean,40,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.9486832980505141,15,1,0,0.175,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,18,trial_1,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.0,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,18,trial_2,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.3,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,18,trial_3,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.8017837257372734,3,1,0,0.3,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,18,trial_4,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,19,ALL,0,whole_native_trial_mean,40,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.4120169817949313,2,4,1,0.125,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,19,trial_1,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,,0,2,0,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,19,trial_2,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.523809523809524,2,1,1,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,19,trial_3,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,,0,0,0,0.0,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,19,trial_4,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,,0,1,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,20,ALL,0,whole_native_trial_mean,40,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,-0.03557886290769189,10,13,8,0.65,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,20,trial_1,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.25000000000000006,3,3,1,0.7,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,20,trial_2,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,2.2662332591841973e-17,2,3,2,0.5,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,20,trial_3,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,-0.19999999999999996,2,3,3,0.7,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_final_20260916,libemg_electrode_shift,final,20,trial_4,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,-0.21821789023599236,3,4,2,0.7,,,,,,,,,,,,,,,,,,
feature_bank_wearing_session_validation_20260916,libemg_electrode_shift,validation,15,trial_1,0,,,,"reference ring, not historical validated RLCS; same held-out trials",population_uniform,population_session_context,,1.0,0.4,,,,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,
