run_id,phase,dataset,subject,condition,shots_per_class,feature_bank,mode,evaluation_trials,macro_f1,accuracy,log_loss,brier,ece,per_class_f1_json,method,calibration_trials,supported,reason,aggregation,protocol,calibration_force,target_force_calibration,model,feature_dimension,session/domain,classes_present,removed_family,n0,reliability_temperature,weights_json
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.6266666666666666,0.7,0.9964692217212378,0.10481251667349323,0.44199872949512536,"{""close"":0.6666666666666666,""open"":0.6666666666666666,""rest"":1.0,""flexion"":0.8,""extension"":0.0}",session_local_anchor,0,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.6266666666666666,0.7,0.9964692217212378,0.10481251667349323,0.44199872949512536,"{""close"":0.6666666666666666,""open"":0.6666666666666666,""rest"":1.0,""flexion"":0.8,""extension"":0.0}",session_blended_anchor,0,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.4666666666666666,0.6,0.7483714936419827,0.08478241467936609,0.29778697265712967,"{""close"":0.6666666666666666,""open"":0.0,""rest"":1.0,""flexion"":0.6666666666666666,""extension"":0.0}",unnormalized_source,0,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,1,F0|F3_Ring_reference,,5,0.4666666666666666,0.6,0.9826646069843221,0.10472104916738362,0.15478176009685085,"{""close"":0.6666666666666666,""open"":0.0,""rest"":1.0,""flexion"":0.6666666666666666,""extension"":0.0}",source_model,5,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,1,F0|F3_Ring_reference,,5,0.4666666666666666,0.6,0.6880713738126201,0.07216484883653489,0.33497408650804505,"{""close"":0.6666666666666666,""open"":0.0,""rest"":0.6666666666666666,""flexion"":1.0,""extension"":0.0}",session_model,5,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,1,F0|F3_Ring_reference,,5,0.4666666666666666,0.6,0.6773011770285213,0.07244649078937125,0.3332419363678124,"{""close"":0.6666666666666666,""open"":0.0,""rest"":0.6666666666666666,""flexion"":1.0,""extension"":0.0}",session_context,5,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,1,F0|F3_Ring_reference,,5,0.4666666666666666,0.6,0.9906185175215609,0.10630227558310802,0.4778847201404621,"{""close"":0.6666666666666666,""open"":0.0,""rest"":1.0,""flexion"":0.6666666666666666,""extension"":0.0}",source_long_anchor,5,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,1,F0|F3_Ring_reference,,5,0.4666666666666666,0.6,0.9576988957179996,0.10108525131695811,0.28266272323127606,"{""close"":0.6666666666666666,""open"":1.0,""rest"":0.6666666666666666,""flexion"":0.0,""extension"":0.0}",session_long_anchor,5,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,1,F0|F3_Ring_reference,,5,1.0,1.0,0.6642458719749109,0.06383892596041325,0.4696190563218239,"{""close"":1.0,""open"":1.0,""rest"":1.0,""flexion"":1.0,""extension"":1.0}",session_local_anchor,5,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,1,F0|F3_Ring_reference,,5,0.4666666666666666,0.6,0.8999428298604857,0.09341974989777672,0.2710173985887118,"{""close"":0.6666666666666666,""open"":1.0,""rest"":0.6666666666666666,""flexion"":0.0,""extension"":0.0}",session_blended_anchor,5,True,,,,,,,,,,,,,
